dataset,run_id,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec,best_gain_vs_normal,best_pct_vs_normal_after
Hop10Rep1-4,Hop10Rep1-4_random30_tdg_impact_w30,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,30,22706139,18800640,0.070955,0.002163,0.022387,0.177962,0.273467,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3905499,28166,0.1495899421344083,0.7264271601123762,0.12404574815647873,True,0.0821,0.017768,28166,0.1495899421344083
Hop10Rep1-5,Hop10Rep1-5_random30_tdg_impact_w15,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,15,18340040,14025109,0.069218,0.002155,0.022288,0.167919,0.26158,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4314931,290887,2.03190193682647,7.2287231451743565,1.5860761481436245,True,0.05271099999999998,0.003594,290887,2.03190193682647
Hop10Rep1-6,Hop10Rep1-6_random30_tdg_impact_w5,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,5,14713545,13109005,0.0652,0.002309,0.036424,0.160042,0.263975,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1604540,210109,1.5774998246880385,15.067722963703476,1.42799712781658,True,0.09548100000000001,0.029705,210109,1.5774998246880385
Hop10Rep1-7,Hop10Rep1-7_random30_tdg_impact_w15,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,15,29930878,24181486,0.099684,0.002673,0.036191,0.284387,0.422935,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5749392,455994,1.8508142878248912,8.61439098288094,1.5234902230398988,True,0.08811400000000003,0.022367,455994,1.8508142878248912
Hop10Rep1-8,Hop10Rep1-8_random30_tdg_impact_w15,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,15,23006298,17924853,0.090678,0.003008,0.036013,0.206838,0.336537,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,5081445,1128337,5.922037202169295,28.543034999296758,4.904470071629951,True,0.09799699999999997,0.029297000000000004,1128337,5.922037202169295
Hop10Rep1-9,Hop10Rep1-9_random30_tdg_impact_w50,10,1,9,1024,random,30,0,307,45,tdg_impact_reroute,50,28055401,21006252,0.096683,0.002725,0.037944,0.243252,0.380604,1647363.4886,1607826.04004,11533,11533,22544973,0.018197,0.270858,0.289055,5510428,7049149,1538721,6.825117954233079,27.92380192609358,5.484580313074121,True,0.09154899999999999,0.019746999999999997,1538721,6.825117954233079
Hop10Rep2-0,Hop10Rep2-0_random30_tdg_impact_w30,10,2,0,2048,random,30,0,614,45,tdg_impact_reroute,30,66208060,60316054,0.24487,0.005949,0.155459,1.035566,1.441844,1573766.57655,1561684.8335,27959,27959,61838740,0.013701,1.069127,1.082828,4369320,5892006,1522686,2.4623496533079425,34.84949603141907,2.2998498974294064,True,0.359016,0.14175800000000002,1522686,2.4623496533079425
Hop10Rep2-1,Hop10Rep2-1_random30_tdg_impact_w100,10,2,1,2048,random,30,0,614,45,tdg_impact_reroute,100,48635891,41290629,0.162261,0.004347,0.039357,0.582032,0.787997,1283409.75081,1292575.6582,18843,18843,41814722,0.011497,0.601735,0.613232,6821169,7345262,524093,1.253369566823857,7.68333111230641,1.077584864231232,True,0.17476499999999995,0.027860000000000003,524093,1.253369566823857
Hop10Rep2-10,Hop10Rep2-10_random30_tdg_impact_w30,10,2,10,2048,random,30,0,614,45,tdg_impact_reroute,30,51539662,43278722,0.185759,0.004647,0.056799,0.620945,0.86815,1232254.29316,1199832.84619,22613,22613,46033999,0.011382,0.693938,0.70532,5505663,8260940,2755277,5.985308814904393,50.04441790207647,5.345935330348111,True,0.16283000000000003,0.045417,2755277,5.985308814904393
Hop10Rep2-11,Hop10Rep2-11_random30_tdg_impact_w100,10,2,11,2048,random,30,0,614,45,tdg_impact_reroute,100,64393471,55289119,0.209893,0.004445,0.04098,0.912002,1.16732,1772516.18567,1768689.33154,19097,19097,57555400,0.010826,1.011875,1.022701,6838071,9104352,2266281,3.937564503070085,33.14210981430289,3.519426682248578,True,0.14461899999999983,0.030154,2266281,3.937564503070085
