dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,total_before,unselected_after_remove,reduction,select_sec,evaluate_remaining_sec
Hop10Rep1-15,10,1,15,1024,random,10,0,102,19115140,16251408,2863732,0.000114,0.270895
Hop10Rep1-15,10,1,15,1024,random,30,0,307,19115140,10748740,8366400,0.000168,0.160508
Hop10Rep1-15,10,1,15,1024,most_delayed,10,0,102,19115140,15169516,3945624,0.000405,0.238754
Hop10Rep1-15,10,1,15,1024,most_delayed,30,0,307,19115140,9543189,9571951,0.000447,0.137502
Hop10Rep1-16,10,1,16,1024,random,10,0,102,15597648,13355937,2241711,0.000113,0.203494
Hop10Rep1-16,10,1,16,1024,random,30,0,307,15597648,9234232,6363416,0.000168,0.128742
Hop10Rep1-16,10,1,16,1024,most_delayed,10,0,102,15597648,12383682,3213966,0.000394,0.187479
Hop10Rep1-16,10,1,16,1024,most_delayed,30,0,307,15597648,7712555,7885093,0.000444,0.109133
Hop10Rep1-17,10,1,17,1024,random,10,0,102,24413857,21415709,2998148,0.000114,0.369945
Hop10Rep1-17,10,1,17,1024,random,30,0,307,24413857,15539974,8873883,0.000171,0.235472
Hop10Rep1-17,10,1,17,1024,most_delayed,10,0,102,24413857,20179153,4234704,0.000401,0.337046
Hop10Rep1-17,10,1,17,1024,most_delayed,30,0,307,24413857,13465190,10948667,0.000444,0.193015
Hop10Rep1-18,10,1,18,1024,random,10,0,102,25970157,22549357,3420800,0.000115,0.461653
Hop10Rep1-18,10,1,18,1024,random,30,0,307,25970157,16229094,9741063,0.000169,0.288301
Hop10Rep1-18,10,1,18,1024,most_delayed,10,0,102,25970157,20998460,4971697,0.000403,0.457213
Hop10Rep1-18,10,1,18,1024,most_delayed,30,0,307,25970157,13212114,12758043,0.000454,0.294901
Hop10Rep1-19,10,1,19,1024,random,10,0,102,18471203,15638985,2832218,0.000113,0.211139
Hop10Rep1-19,10,1,19,1024,random,30,0,307,18471203,10860253,7610950,0.000168,0.129666
Hop10Rep1-19,10,1,19,1024,most_delayed,10,0,102,18471203,14903075,3568128,0.000393,0.205076
Hop10Rep1-19,10,1,19,1024,most_delayed,30,0,307,18471203,9503007,8968196,0.000436,0.124354
Hop10Rep2-0,10,2,0,2048,random,10,0,204,66208060,58162282,8045778,0.000219,1.194897
Hop10Rep2-0,10,2,0,2048,random,30,0,614,66208060,41781281,24426779,0.000307,0.796493
Hop10Rep2-0,10,2,0,2048,most_delayed,10,0,204,66208060,55059960,11148100,0.000871,1.154182
Hop10Rep2-0,10,2,0,2048,most_delayed,30,0,614,66208060,37854421,28353639,0.000913,0.791843
Hop10Rep2-1,10,2,1,2048,random,10,0,204,48635891,41493603,7142288,0.000215,0.817471
Hop10Rep2-1,10,2,1,2048,random,30,0,614,48635891,28078325,20557566,0.000309,0.490522
Hop10Rep2-1,10,2,1,2048,most_delayed,10,0,204,48635891,38186047,10449844,0.000817,0.673856
Hop10Rep2-1,10,2,1,2048,most_delayed,30,0,614,48635891,23206241,25429650,0.000915,0.363677
Hop10Rep2-2,10,2,2,2048,random,10,0,204,76065730,66618934,9446796,0.000219,1.645252
Hop10Rep2-2,10,2,2,2048,random,30,0,614,76065730,47606285,28459445,0.000307,1.056869
Hop10Rep2-2,10,2,2,2048,most_delayed,10,0,204,76065730,61301422,14764308,0.000858,1.46587
Hop10Rep2-2,10,2,2,2048,most_delayed,30,0,614,76065730,38408192,37657538,0.000976,0.79882
Hop10Rep2-3,10,2,3,2048,random,10,0,204,40823735,35626628,5197107,0.000225,0.912392
Hop10Rep2-3,10,2,3,2048,random,30,0,614,40823735,25333704,15490031,0.000306,0.536201
Hop10Rep2-3,10,2,3,2048,most_delayed,10,0,204,40823735,31958562,8865173,0.000837,0.728823
Hop10Rep2-3,10,2,3,2048,most_delayed,30,0,614,40823735,18924924,21898811,0.000912,0.312247
Hop10Rep2-4,10,2,4,2048,random,10,0,204,56344634,49924581,6420053,0.000215,0.869222
Hop10Rep2-4,10,2,4,2048,random,30,0,614,56344634,35579249,20765385,0.000314,0.585072
Hop10Rep2-4,10,2,4,2048,most_delayed,10,0,204,56344634,45793098,10551536,0.000843,0.806432
Hop10Rep2-4,10,2,4,2048,most_delayed,30,0,614,56344634,28855400,27489234,0.000949,0.422291
Hop10Rep2-5,10,2,5,2048,random,10,0,204,50861935,43573548,7288387,0.000217,0.942634
Hop10Rep2-5,10,2,5,2048,random,30,0,614,50861935,30254257,20607678,0.000309,0.566725
Hop10Rep2-5,10,2,5,2048,most_delayed,10,0,204,50861935,40704095,10157840,0.000815,0.832752
Hop10Rep2-5,10,2,5,2048,most_delayed,30,0,614,50861935,24770848,26091087,0.000913,0.453866
Hop10Rep2-6,10,2,6,2048,random,10,0,204,47806481,41204745,6601736,0.000217,0.73115
Hop10Rep2-6,10,2,6,2048,random,30,0,614,47806481,27757331,20049150,0.000311,0.446323
Hop10Rep2-6,10,2,6,2048,most_delayed,10,0,204,47806481,38439566,9366915,0.000844,0.675179
Hop10Rep2-6,10,2,6,2048,most_delayed,30,0,614,47806481,23761297,24045184,0.000905,0.370766
Hop10Rep2-7,10,2,7,2048,random,10,0,204,74090852,65214870,8875982,0.000215,1.649557
Hop10Rep2-7,10,2,7,2048,random,30,0,614,74090852,47209515,26881337,0.000308,0.992052
Hop10Rep2-7,10,2,7,2048,most_delayed,10,0,204,74090852,61444439,12646413,0.000812,1.52334
Hop10Rep2-7,10,2,7,2048,most_delayed,30,0,614,74090852,40781655,33309197,0.000915,0.899304
Hop10Rep2-8,10,2,8,2048,random,10,0,204,71464715,61589723,9874992,0.000214,0.979378
Hop10Rep2-8,10,2,8,2048,random,30,0,614,71464715,42573689,28891026,0.000307,0.632299
Hop10Rep2-8,10,2,8,2048,most_delayed,10,0,204,71464715,57870478,13594237,0.000824,0.937721
Hop10Rep2-8,10,2,8,2048,most_delayed,30,0,614,71464715,36367482,35097233,0.000912,0.577595
Hop10Rep2-9,10,2,9,2048,random,10,0,204,68615912,60519685,8096227,0.00022,1.687367
Hop10Rep2-9,10,2,9,2048,random,30,0,614,68615912,44323851,24292061,0.000305,1.042192
Hop10Rep2-9,10,2,9,2048,most_delayed,10,0,204,68615912,56632153,11983759,0.000818,1.479733
Hop10Rep2-9,10,2,9,2048,most_delayed,30,0,614,68615912,36570526,32045386,0.000967,0.739581
Hop10Rep2-10,10,2,10,2048,random,10,0,204,51539662,44243482,7296180,0.000215,0.80581
Hop10Rep2-10,10,2,10,2048,random,30,0,614,51539662,29586335,21953327,0.000309,0.53269
Hop10Rep2-10,10,2,10,2048,most_delayed,10,0,204,51539662,40938815,10600847,0.000813,0.708433
Hop10Rep2-10,10,2,10,2048,most_delayed,30,0,614,51539662,25525104,26014558,0.000902,0.405422
Hop10Rep2-11,10,2,11,2048,random,10,0,204,64393471,56864145,7529326,0.000215,1.317302
Hop10Rep2-11,10,2,11,2048,random,30,0,614,64393471,40674530,23718941,0.000305,0.848341
Hop10Rep2-11,10,2,11,2048,most_delayed,10,0,204,64393471,52920007,11473464,0.000823,1.165218
Hop10Rep2-11,10,2,11,2048,most_delayed,30,0,614,64393471,33550944,30842527,0.000918,0.631565
Hop10Rep2-12,10,2,12,2048,random,10,0,204,56746946,49449228,7297718,0.000221,1.047563
Hop10Rep2-12,10,2,12,2048,random,30,0,614,56746946,33338976,23407970,0.000307,0.672212
Hop10Rep2-12,10,2,12,2048,most_delayed,10,0,204,56746946,45210596,11536350,0.000867,0.970526
Hop10Rep2-12,10,2,12,2048,most_delayed,30,0,614,56746946,28709601,28037345,0.000931,0.547759
Hop10Rep2-13,10,2,13,2048,random,10,0,204,41686472,35757770,5928702,0.000217,0.640295
Hop10Rep2-13,10,2,13,2048,random,30,0,614,41686472,24100067,17586405,0.000309,0.386447
Hop10Rep2-13,10,2,13,2048,most_delayed,10,0,204,41686472,32062228,9624244,0.000821,0.57251
Hop10Rep2-13,10,2,13,2048,most_delayed,30,0,614,41686472,18741531,22944941,0.000925,0.296445
Hop10Rep2-14,10,2,14,2048,random,10,0,204,55704154,48623535,7080619,0.000216,1.008086
Hop10Rep2-14,10,2,14,2048,random,30,0,614,55704154,33724537,21979617,0.00031,0.616981
Hop10Rep2-14,10,2,14,2048,most_delayed,10,0,204,55704154,44882111,10822043,0.000833,0.892688
Hop10Rep2-14,10,2,14,2048,most_delayed,30,0,614,55704154,28281814,27422340,0.000918,0.50873
Hop10Rep2-15,10,2,15,2048,random,10,0,204,55647682,48471214,7176468,0.000217,1.091207
Hop10Rep2-15,10,2,15,2048,random,30,0,614,55647682,33794907,21852775,0.000305,0.634726
Hop10Rep2-15,10,2,15,2048,most_delayed,10,0,204,55647682,45516463,10131219,0.000822,0.988279
Hop10Rep2-15,10,2,15,2048,most_delayed,30,0,614,55647682,28834736,26812946,0.000911,0.509449
Hop10Rep2-16,10,2,16,2048,random,10,0,204,45665750,39043265,6622485,0.000215,0.686599
Hop10Rep2-16,10,2,16,2048,random,30,0,614,45665750,26420338,19245412,0.000306,0.437774
