run_id,dataset,hop,rep,seed,algorithm,query_count,iteration,selected_count,total_before,tdg_remaining_before,tdg_remaining_after_remove,random_remaining_before,random_remaining_after_remove,tdg_selected_score_sum,random_selected_score_sum,mean_selected_tdg_score,mean_random_tdg_score,mean_all_query_tdg_score,max_selected_tdg_score,max_random_tdg_score,max_all_query_tdg_score,tdg_node_count,tdg_route_arc_count,tdg_same_edge_arc_count,tdg_edge_timeline_count,tdg_max_out_degree,tdg_max_flow,tdg_mean_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-3_gamma100,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,1024,0,1024,15903591,0,0,0,0,4606371125,4606371125,4498409.30176,4498409.30176,4498409.30176,16562068,16562068,16562068,7242,6559,6826,7242,5,172,40.5143606738,32,2.68557409887
Hop10Rep1-4_gamma0,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,0,0,22706139,22706139,22706139,22706139,22706139,0,0,0,0,6083616.14355,0,0,25234068,9306,8645,8626,9306,5,125,34.5866107887,39.5,6.23345934838
Hop10Rep1-4_gamma25,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,0,216,22706139,17345428,15103259,17743562,15528530,1480789365,1399792980,6855506.31944,6480523.05556,6083616.14355,25234068,25234068,25234068,9306,8645,8626,9306,5,125,34.5866107887,39.5,6.23345934838
Hop10Rep1-4_gamma50,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,0,447,22706139,11612118,8468050,12721245,9252693,3038199089,2838815173,6796865.97092,6350816.94183,6083616.14355,25234068,25234068,25234068,9306,8645,8626,9306,5,125,34.5866107887,39.5,6.23345934838
Hop10Rep1-4_gamma75,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,0,715,22706139,5714105,2800417,6243593,3374801,4638125940,4607059325,6486889.42657,6443439.61538,6083616.14355,25234068,25234068,25234068,9306,8645,8626,9306,5,125,34.5866107887,39.5,6.23345934838
Hop10Rep1-4_gamma100,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,1024,0,1024,22706139,0,0,0,0,6229622931,6229622931,6083616.14355,6083616.14355,6083616.14355,25234068,25234068,25234068,9306,8645,8626,9306,5,125,34.5866107887,39.5,6.23345934838
Hop10Rep1-5_gamma0,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,0,0,18340040,18340040,18340040,18340040,18340040,0,0,0,0,4112689.62891,0,0,12037114,8931,8161,8524,8931,5,140,34.9010189229,7,1.7163623709
Hop10Rep1-5_gamma25,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,0,214,18340040,14042215,11948453,14459873,12607974,981681883,876313144,4587298.51869,4094921.23364,4112689.62891,12037114,12037114,12037114,8931,8161,8524,8931,5,140,34.9010189229,7,1.7163623709
Hop10Rep1-5_gamma50,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,0,434,18340040,9767033,6752622,10632210,7660195,1965039641,1781107883,4527741.10829,4103935.21429,4112689.62891,12037114,12037114,12037114,8931,8161,8524,8931,5,140,34.9010189229,7,1.7163623709
Hop10Rep1-5_gamma75,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,0,709,18340040,4822264,2683990,5583146,3055007,3116907037,2919011071,4396201.74471,4117081.9055,4112689.62891,12037114,12037114,12037114,8931,8161,8524,8931,5,140,34.9010189229,7,1.7163623709
Hop10Rep1-5_gamma100,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,1024,0,1024,18340040,0,0,0,0,4211394180,4211394180,4112689.62891,4112689.62891,4112689.62891,12037114,12037114,12037114,8931,8161,8524,8931,5,140,34.9010189229,7,1.7163623709
Hop10Rep1-6_gamma0,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,0,0,14713545,14713545,14713545,14713545,14713545,0,0,0,0,2218760.15625,0,0,7226827,9393,8640,8898,9393,5,93,23.0715426381,7.15384615385,1.35210220123
Hop10Rep1-6_gamma25,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,0,100,14713545,12566723,11691692,13203456,12375456,402756634,211749962,4027566.34,2117499.62,2218760.15625,7226827,6242057,7226827,9393,8640,8898,9393,5,93,23.0715426381,7.15384615385,1.35210220123
Hop10Rep1-6_gamma50,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,0,436,14713545,7820410,5239038,8453909,5893793,1058568233,939892886,2427908.79128,2155717.62844,2218760.15625,7226827,7055713,7226827,9393,8640,8898,9393,5,93,23.0715426381,7.15384615385,1.35210220123
Hop10Rep1-6_gamma75,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,0,703,14713545,3926933,2335126,4707789,2702360,1648182861,1510294555,2344499.09104,2148356.40825,2218760.15625,7226827,7226827,7226827,9393,8640,8898,9393,5,93,23.0715426381,7.15384615385,1.35210220123
Hop10Rep1-6_gamma100,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,1024,0,1024,14713545,0,0,0,0,2272010400,2272010400,2218760.15625,2218760.15625,2218760.15625,7226827,7226827,7226827,9393,8640,8898,9393,5,93,23.0715426381,7.15384615385,1.35210220123
Hop10Rep1-7_gamma0,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,0,0,29930878,29930878,29930878,29930878,29930878,0,0,0,0,9888230.95117,0,0,23711479,12157,11545,11892,12157,4,144,43.5497244386,32,2.73034645749
Hop10Rep1-7_gamma25,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,0,215,29930878,23290245,20928334,23593957,21556381,2225615181,2049333701,10351698.5163,9531784.65581,9888230.95117,23711479,23581068,23711479,12157,11545,11892,12157,4,144,43.5497244386,32,2.73034645749
Hop10Rep1-7_gamma50,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,0,435,29930878,16723843,13191263,17442630,13715794,4484634320,4019339117,10309504.1839,9239860.03908,9888230.95117,23711479,23711479,23711479,12157,11545,11892,12157,4,144,43.5497244386,32,2.73034645749
Hop10Rep1-7_gamma75,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,0,695,29930878,8989393,5365933,9501653,5694117,7105386067,6793140930,10223577.0748,9774303.4964,9888230.95117,23711479,23711479,23711479,12157,11545,11892,12157,4,144,43.5497244386,32,2.73034645749
Hop10Rep1-7_gamma100,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,1024,0,1024,29930878,0,0,0,0,10125548494,10125548494,9888230.95117,9888230.95117,9888230.95117,23711479,23711479,23711479,12157,11545,11892,12157,4,144,43.5497244386,32,2.73034645749
Hop10Rep1-8_gamma0,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,0,0,23006298,23006298,23006298,23006298,23006298,0,0,0,0,4672440.1377,0,0,14150919,12596,11912,11940,12596,5,95,27.2905684344,72,3.78470652507
Hop10Rep1-8_gamma25,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,0,217,23006298,17789401,15185461,18114824,15839113,1080382880,1010675820,4978722.94931,4657492.25806,4672440.1377,14150919,13193280,14150919,12596,11912,11940,12596,5,95,27.2905684344,72,3.78470652507
Hop10Rep1-8_gamma50,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,0,449,23006298,12164344,8636449,12783074,9380943,2218709598,2100141398,4941446.76615,4677375.05122,4672440.1377,14150919,14150919,14150919,12596,11912,11940,12596,5,95,27.2905684344,72,3.78470652507
Hop10Rep1-8_gamma75,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,0,712,23006298,6373656,3407652,6297842,3875906,3427637699,3482307644,4814097.89185,4890881.52247,4672440.1377,14150919,14150919,14150919,12596,11912,11940,12596,5,95,27.2905684344,72,3.78470652507
Hop10Rep1-8_gamma100,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,1024,0,1024,23006298,0,0,0,0,4784578701,4784578701,4672440.1377,4672440.1377,4672440.1377,14150919,14150919,14150919,12596,11912,11940,12596,5,95,27.2905684344,72,3.78470652507
Hop10Rep1-9_gamma0,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,0,0,28055401,28055401,28055401,28055401,28055401,0,0,0,0,10862264.2266,0,0,35711516,11533,10876,11123,11533,5,202,48.2698343883,21.1428571429,3.43348480916
Hop10Rep1-9_gamma25,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,0,224,28055401,21842651,19910975,21463636,19660822,2512538949,2599237955,11216691.7366,11603740.8705,10862264.2266,35711516,34807302,35711516,11533,10876,11123,11533,5,202,48.2698343883,21.1428571429,3.43348480916
Hop10Rep1-9_gamma50,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,0,452,28055401,15332834,11531602,15584504,11448308,5129236249,4886199887,11347867.8075,10810176.7412,10862264.2266,35711516,34807302,35711516,11533,10876,11123,11533,5,202,48.2698343883,21.1428571429,3.43348480916
Hop10Rep1-9_gamma75,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,0,713,28055401,8313299,4678892,8120411,4524202,7905318407,8033047589,11087403.0954,11266546.4081,10862264.2266,35711516,34807302,35711516,11533,10876,11123,11533,5,202,48.2698343883,21.1428571429,3.43348480916
Hop10Rep1-9_gamma100,Hop10Rep1-9,10,1,9,tdg_selection_no_candidate_vs_random,1024,0,1024,28055401,0,0,0,0,11122958568,11122958568,10862264.2266,10862264.2266,10862264.2266,35711516,35711516,35711516,11533,10876,11123,11533,5,202,48.2698343883,21.1428571429,3.43348480916
Hop10Rep1-10_gamma0,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,0,0,17077467,17077467,17077467,17077467,17077467,0,0,0,0,3112918.08887,0,0,11914212,11845,11065,11244,11845,5,115,23.2685521317,6.05263157895,1.15322054918
Hop10Rep1-10_gamma25,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,0,205,17077467,13430571,11926563,13572097,12065682,707190021,618311230,3449707.41951,3016152.34146,3112918.08887,11914212,11671904,11914212,11845,11065,11244,11845,5,115,23.2685521317,6.05263157895,1.15322054918
Hop10Rep1-10_gamma50,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,0,425,17077467,9607294,7468454,9934039,7704782,1438897638,1295338762,3385641.50118,3047855.91059,3112918.08887,11914212,11671904,11914212,11845,11065,11244,11845,5,115,23.2685521317,6.05263157895,1.15322054918
