gamma,removal_mode,rows,win_rate,mean_value_better_than_random,median_value_better_than_random,mean_random_reduction,mean_total_before,mean_pct_more_reduction_than_random,median_pct_more_reduction_than_random,mean_pct_of_total_before,mean_tdg_total_selection_sec,mean_random_selection_sec,mean_extra_time_vs_random_sec,mean_pure_select_extra_vs_random_sec,mean_selected_count,mean_selected_fraction,pct_vs_random_reduction_of_means,pct_of_mean_total_before
25,all_nodes,180,0.8777777777777778,957555.338888889,779592.5,30542581.133333333,157366383.92777777,7.773017899132418,4.254120348974968,0.9822646706003686,1.6323558722222222,0.00020588333333333334,1.6321499888888888,1.0411413999999999,365.80555555555554,0.15653483072916666,3.1351487115928114,0.6084878580728859
25,anchor_important,180,0.8833333333333333,997914.0944444444,812088.0,31270984.766666666,157366383.92777777,6.695636481892779,4.2665886258449195,0.9589086103603347,1.6680440388888889,0.00020522777777777778,1.667838811111111,1.0354427888888889,375.71666666666664,0.1628390842013889,3.1911821833899254,0.6341342220219219
25,congestion_important,180,0.7166666666666667,187825.03333333333,385791.0,16573599.15,157366383.92777777,8.705308924396292,7.262861547939902,-0.22973088181157825,1.4650810555555556,0.00020592222222222224,1.4648751333333334,0.8540369611111112,227.80555555555554,0.10660264756944444,1.1332784848566422,0.11935524515803474
50,all_nodes,180,0.9111111111111111,1555672.3,1058184.5,79459195.35555555,157366383.92777777,2.796912669736095,2.258171831102895,1.4080225043346601,2.4162953166666665,0.00020548888888888888,2.416089827777778,1.8250859222222222,991.5222222222222,0.41219482421875,1.957825388287464,0.9885671012901748
50,anchor_important,180,0.8777777777777778,1417902.7722222223,1029888.0,81833010.92222223,157366383.92777777,2.899676721809832,1.9963275492751102,1.36544320814691,2.4753207,0.00020607222222222222,2.475114627777778,1.8427405555555556,1014.2111111111111,0.4268107096354167,1.7326782385776576,0.9010201142278005
50,congestion_important,180,0.4222222222222222,-659810.3944444444,-198003.5,63926094.64444444,157366383.92777777,1.4929223588898999,-0.6664227244287172,-0.823889237856068,2.1969702555555557,0.00020515555555555558,2.1967651,1.585936588888889,873.4722222222222,0.38303087022569443,-1.0321456333509744,-0.4192829357680735
75,all_nodes,180,0.8944444444444445,1104294.3666666667,633408.0,123380476.99444444,157366383.92777777,1.2960270755372585,0.8803426623778711,1.0269865113425631,3.2044727833333337,0.00020608333333333335,3.2042667000000002,2.6132631944444444,1618.8722222222223,0.6738972981770833,0.8950316886166607,0.7017346011925107
75,anchor_important,180,0.9111111111111111,1046167.5833333334,580108.5,125656908.95555556,157366383.92777777,1.260229133799941,0.8927144869814114,1.0080152395929605,3.270576511111111,0.00020640555555555555,3.270370105555555,2.6382975555555555,1651.0611111111111,0.6908053927951389,0.8325587443053842,0.6647973710913158
75,congestion_important,180,0.3055555555555556,-472970.9277777778,-258118.0,124506509.14444445,157366383.92777777,0.4312486501393937,-0.3996934276904061,-0.2967396945729247,3.1910985166666666,0.0002051611111111111,3.1908933555555556,2.5800729166666665,1699.0333333333333,0.7095513237847222,-0.3798764667227697,-0.3005539785389264
