run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter0,Hop10Rep1-0,10,1,0,1024,0,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,0,97,0.0947265625,0,27030182,26151125,879057,0.110254,0.48326,0.133547,0,1.02742,0,0,0.021255,0.463575,2.239311,2.239311,1882761.16495,1318447.57227,14795,14795
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter1,Hop10Rep1-0,10,1,0,1024,1,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,1,106,0.103515625,0,26151125,25484216,666909,0,0.455526,0.132318,0,1.044092,0,0,0.024941,0.460745,2.117622,4.356933,2142687.5566,1297607.59766,15331,15331
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter2,Hop10Rep1-0,10,1,0,1024,2,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,2,103,0.1005859375,0,25484216,25115513,368703,0,0.449069,0.13696,0,0.981326,0,0,0.023607,0.432686,2.023648,6.380581,2016457.8835,1274341.10156,15525,15525
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter3,Hop10Rep1-0,10,1,0,1024,3,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,3,85,0.0830078125,0,25115513,25162648,-47135,0,0.421739,0.132479,0,0.798506,0,0,0.016735,0.431277,1.800736,8.181317,1853021.25882,1199074.63281,15758,15758
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter4,Hop10Rep1-0,10,1,0,1024,4,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,4,81,0.0791015625,0,25162648,25026013,136635,0,0.42177,0.131518,0,0.758019,0,0,0.019349,0.421412,1.752068,9.933385,1900101.12346,1189407.88184,15789,15789
