run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec
Hop10Rep1-2_random30_tdg_impact_w100,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,100,29257903,26732339,0.102912,0.002972,0.042292,0.362192,0.510368,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2525564,167960,0.6243796769693898,7.124182008513729,0.5740671161566159,True,0.10612800000000006,0.035803
Hop10Rep1-2_random30_tdg_impact_w15,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,15,29257903,26653359,0.102912,0.002972,0.052015,0.382894,0.540793,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2604544,246940,0.9179823614599971,10.474193291154918,0.8440112744922287,True,0.13655299999999998,0.045526
Hop10Rep1-2_random30_tdg_impact_w30,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,30,29257903,26661653,0.102912,0.002972,0.052465,0.383724,0.542073,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2596250,238646,0.8871499904146047,10.122395448938839,0.8156633781990459,True,0.13783300000000004,0.045975999999999996
Hop10Rep1-2_random30_tdg_impact_w5,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,5,29257903,26749799,0.102912,0.002972,0.055426,0.379998,0.541308,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2508104,150500,0.559473335222036,6.383599620631794,0.5143909322551243,True,0.13706800000000002,0.048937
Hop10Rep1-2_random30_tdg_impact_w50,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,50,29257903,26847941,0.102912,0.002972,0.047505,0.376936,0.530325,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2409962,52358,0.19463724176448743,2.220814012870694,0.17895335834560666,True,0.12608500000000006,0.041016
Hop10Rep1-3_random30_tdg_impact_w0,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,0,15903591,13083136,0.057204,0.001702,0.024982,0.154516,0.238404,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,2820455,0,0.0,0.0,0.0,False,0.07535700000000001,0.019311000000000002
Hop10Rep1-3_random30_tdg_impact_w100,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,100,15903591,13296994,0.057204,0.001702,0.017971,0.157586,0.234463,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,2606597,-213858,-1.63460809396157,-7.5823936208874105,-1.3447151652730507,False,0.07141600000000001,0.012300000000000002
Hop10Rep1-3_random30_tdg_impact_w15,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,15,15903591,12695560,0.057204,0.001702,0.021692,0.144934,0.225532,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,3208031,387576,2.9624090126403946,13.74161261214946,2.437034503716802,True,0.06248500000000001,0.016021
Hop10Rep1-3_random30_tdg_impact_w30,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,30,15903591,12691098,0.057204,0.001702,0.019953,0.147176,0.226035,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,3212493,392038,2.9965139856376943,13.899814037096853,2.465091060251738,True,0.06298800000000002,0.014282
Hop10Rep1-3_random30_tdg_impact_w5,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,5,15903591,12817101,0.057204,0.001702,0.023602,0.148641,0.231149,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,3086490,266035,2.0334192046922084,9.432343363038942,1.6727983007108267,True,0.068102,0.017931000000000002
Hop10Rep1-3_random30_tdg_impact_w50,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,50,15903591,12865910,0.057204,0.001702,0.019228,0.153062,0.231196,761982.368078,782224.974609,7242,7242,13083136,0.005671,0.157376,0.163047,2820455,3037681,217226,1.6603511573983483,7.701806977952138,1.3658927722675966,True,0.06814900000000002,0.013557
Hop10Rep1-4_random30_tdg_impact_w0,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,0,22706139,18828806,0.070955,0.002163,0.029278,0.183823,0.286219,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3877333,0,0.0,0.0,0.0,False,0.09485199999999999,0.024659
Hop10Rep1-4_random30_tdg_impact_w100,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,100,22706139,18996299,0.070955,0.002163,0.019393,0.17948,0.271991,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3709840,-167493,-0.8895572029368193,-4.319799202183563,-0.7376551337063514,False,0.08062399999999997,0.014774
Hop10Rep1-4_random30_tdg_impact_w15,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,15,22706139,18831124,0.070955,0.002163,0.02854,0.182792,0.28445,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3875015,-2318,-0.012310924017168164,-0.05978336139815693,-0.010208692900188799,False,0.09308299999999997,0.023920999999999998
Hop10Rep1-4_random30_tdg_impact_w30,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,30,22706139,18800640,0.070955,0.002163,0.022387,0.177962,0.273467,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3905499,28166,0.1495899421344083,0.7264271601123762,0.12404574815647873,True,0.0821,0.017768
Hop10Rep1-4_random30_tdg_impact_w5,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,5,22706139,18837457,0.070955,0.002163,0.030932,0.184762,0.288812,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3868682,-8651,-0.04594555809858575,-0.22311728190485572,-0.038099828420851294,False,0.097445,0.026313000000000003
Hop10Rep1-4_random30_tdg_impact_w50,Hop10Rep1-4,10,1,4,1024,random,30,0,307,45,tdg_impact_reroute,50,22706139,18883594,0.070955,0.002163,0.020338,0.177191,0.270647,862844.631922,834975.416016,9306,9306,18828806,0.004619,0.186748,0.191367,3877333,3822545,-54788,-0.29097968293900317,-1.4130331338577318,-0.2412915731732286,False,0.07928000000000002,0.015718999999999997
