run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,total_after,tdg_prepare_sec,reroute_sec,evaluate_after_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-3_random10_tdg_impact_w15,Hop10Rep1-3,10,1,3,1024,random,10,0,102,45,tdg_impact_reroute,15,15903591,14910382,0.05681,0.015695,0.193618,5020327.72549,4498409.30176,7242,7242
Hop10Rep1-3_random10_tdg_impact_w30,Hop10Rep1-3,10,1,3,1024,random,10,0,102,45,tdg_impact_reroute,30,15903591,14950360,0.05681,0.015905,0.193714,5020327.72549,4498409.30176,7242,7242
Hop10Rep1-3_random10_tdg_impact_w50,Hop10Rep1-3,10,1,3,1024,random,10,0,102,45,tdg_impact_reroute,50,15903591,14982775,0.05681,0.016467,0.235666,5020327.72549,4498409.30176,7242,7242
Hop10Rep1-3_random10_tdg_impact_w100,Hop10Rep1-3,10,1,3,1024,random,10,0,102,45,tdg_impact_reroute,100,15903591,15028637,0.05681,0.016397,0.194007,5020327.72549,4498409.30176,7242,7242
Hop10Rep1-4_random10_normal_td_dijkstra,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,normal_td_dijkstra,-1,22706139,21275222,0,0.016181,0.232161,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-4_random10_tdg_impact_w0,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,0,22706139,21275222,0.069259,0.023336,0.227299,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-4_random10_tdg_impact_w5,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,5,22706139,21365771,0.069259,0.018155,0.228296,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-4_random10_tdg_impact_w15,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,15,22706139,21182067,0.069259,0.017997,0.218568,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-4_random10_tdg_impact_w30,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,30,22706139,20998597,0.069259,0.021669,0.216798,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-4_random10_tdg_impact_w50,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,50,22706139,20951817,0.069259,0.02193,0.217074,6907056.0098,6083616.14355,9306,9306
