gamma,rows,mean_value_better_than_random,median_value_better_than_random,mean_random_reduction,mean_total_before,mean_tdg_total_selection_sec,median_tdg_total_selection_sec,mean_random_selection_sec,median_random_selection_sec,mean_extra_time_vs_random_sec,median_extra_time_vs_random_sec,mean_selected_fraction,pct_vs_random_reduction_of_means,pct_of_mean_total_before,mean_slowdown_ratio
25,540,714431.4888888889,628587.0,26129055.016666666,157366383.92777777,1.5884936555555556,0.9439375,0.0002056777777777778,0.000177,1.5882879777777779,0.9437595,0.1419921875,2.734241588274746,0.4539924417509475,7723.214791205229
50,540,771254.8925925926,657496.5,75072766.97407408,157366383.92777777,2.362862090740741,1.3848,0.0002055722222222222,0.000177,2.362656518518518,1.3845399999999999,0.40734546802662036,1.02734310147239,0.4901014265833005,11494.072813915991
75,540,559163.674074074,324544.5,124514631.69814815,157366383.92777777,3.2220492703703703,1.862046,0.00020588333333333334,0.000177,3.221843387037037,1.861869,0.6914180049189815,0.44907467214745833,0.3553259979149666,15649.879075708104
