query_count,rows,mean_value_better_than_random,median_value_better_than_random,mean_random_reduction,mean_total_before,mean_tdg_total_selection_sec,median_tdg_total_selection_sec,mean_random_selection_sec,median_random_selection_sec,mean_extra_time_vs_random_sec,median_extra_time_vs_random_sec,mean_selected_fraction,pct_vs_random_reduction_of_means,pct_of_mean_total_before,mean_slowdown_ratio
1024,540,264310.85555555555,292136.5,23227582.661111113,45844168.333333336,0.6531475333333333,0.561933,9.414444444444445e-05,9.4e-05,0.6530533888888889,0.561839,0.4344220196759259,1.1379180494665904,0.5765419357894096,6937.717219402808
2048,540,579652.1222222223,647555.0,57294913.09259259,123131480.0,1.8229925351851852,1.4505664999999999,0.00017747777777777775,0.000177,1.8228150574074076,1.45039,0.39473831741898147,1.0116991036978515,0.4707586737544471,10271.666447546904
4096,540,1200887.0777777778,1547921.0,145193957.9351852,303123503.45,4.697264948148148,3.6897995000000003,0.0003455111111111111,0.000343,4.696919437037037,3.689456,0.41159532335069443,0.8270916330511878,0.3961708887994108,13595.119801046223
