run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-0_gamma50_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,436,14795,27030182,12717103,12910392,0.133109,0.237823,0.000156,9225761.31193,9371332.77064,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma50_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,668,1483,27030182,8542578,7265796,0.134082,0.273109,0.000151,7361157.65569,8899379.13772,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma50_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,452,4892,27030182,12240787,12479528,0.142416,0.237281,0.000155,9104105.24115,9303923.42478,8751804.17188,14795,14795,150,60,1.92561571548
