hop,rep,gamma,removal_mode,rows,win_rate,mean_gain,median_gain,mean_gain_pct_total,mean_selected_fraction
40,1,75,all_nodes,20,0.8,251915.95,187729.0,0.3319492233627359,0.639453125
40,1,75,anchor_important,20,1.0,447293.9,292135.5,0.5844360487254834,0.683251953125
40,1,75,congestion_important,20,0.65,178624.85,144140.5,0.2335063535993906,0.7123046875
40,2,25,all_nodes,20,0.85,964137.9,697645.0,0.4924352626210592,0.170068359375
40,2,25,anchor_important,20,0.85,1298754.8,1176712.5,0.671961129873206,0.1819091796875
40,2,25,congestion_important,20,0.45,-248575.5,-593615.5,-0.11537949355255969,0.053515625
40,2,50,all_nodes,20,0.8,1004706.6,955906.5,0.5134177662241252,0.3906982421875
40,2,50,anchor_important,20,0.8,838261.0,619465.0,0.4382564965735667,0.4289306640625
40,2,50,congestion_important,20,0.3,-283483.7,-477604.0,-0.1707392207190753,0.2126708984375
40,2,75,all_nodes,20,0.8,419587.9,322659.0,0.22005462949551718,0.65498046875
40,2,75,anchor_important,20,0.85,511855.5,352371.5,0.25726181030967005,0.6873046875
40,2,75,congestion_important,20,0.2,-384503.45,-325058.5,-0.1983246683665832,0.614404296875
40,4,25,all_nodes,20,0.8,1653909.55,1128999.0,0.3004518932223897,0.15302734375
40,4,25,anchor_important,20,0.75,1529214.1,1195810.5,0.27699262717686063,0.16422119140625
40,4,25,congestion_important,20,0.8,1500197.5,1855140.0,0.2312688366342702,0.08812255859375
40,4,50,all_nodes,20,0.85,3102525.3,2379819.0,0.6191781584328993,0.41033935546875
40,4,50,anchor_important,20,0.75,2631075.2,2163765.0,0.5212578001961885,0.433447265625
40,4,50,congestion_important,20,0.4,-2777299.35,-1184204.5,-0.5618473351319447,0.38206787109375
40,4,75,all_nodes,20,0.75,1564401.15,1338723.0,0.29200015256160816,0.66953125
40,4,75,anchor_important,20,0.7,967597.15,1219029.0,0.1725920802410154,0.68939208984375
40,4,75,congestion_important,20,0.25,-2119558.55,-1619841.0,-0.44759548339193067,0.7521240234375
