run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-9_most_delayed10_tdg_impact_w30_iter4,Hop10Rep1-9,10,1,9,1024,4,most_delayed,none,10,-1,tdg_impact_reroute,30,4,102,0.099609375,50,18807822,17554119,1253703,0,0.255995,0.084866,0,0.000182,0.002384,0.082376,0.113872,0.219123,0.758798,5.06309,1261139.21569,686574.084961,10765,10765
Hop10Rep1-9_most_delayed30_normal_td_dijkstra_iter0,Hop10Rep1-9,10,1,9,1024,0,most_delayed,none,30,-1,normal_td_dijkstra,0,0,307,0.2998046875,0,28055401,20976767,7078634,0.10024,0.558719,0,0,0.000179,0,0,0.086234,0.339373,1.084745,1.084745,2480702.03257,1607826.04004,11533,11533
Hop10Rep1-9_most_delayed30_normal_td_dijkstra_iter1,Hop10Rep1-9,10,1,9,1024,1,most_delayed,none,30,-1,normal_td_dijkstra,0,1,307,0.2998046875,0,20976767,17985870,2990897,0,0.333854,0,0,0.000186,0,0,0.058247,0.268695,0.660982,1.745727,1406579.91531,941592.886719,10660,10660
Hop10Rep1-9_most_delayed30_normal_td_dijkstra_iter2,Hop10Rep1-9,10,1,9,1024,2,most_delayed,none,30,-1,normal_td_dijkstra,0,2,307,0.2998046875,0,17985870,16712260,1273610,0,0.284651,0,0,0.000181,0,0,0.055024,0.236549,0.576405,2.322132,847111.641694,670749.664062,10277,10277
Hop10Rep1-9_most_delayed30_normal_td_dijkstra_iter3,Hop10Rep1-9,10,1,9,1024,3,most_delayed,none,30,-1,normal_td_dijkstra,0,3,307,0.2998046875,0,16712260,16876621,-164361,0,0.235673,0,0,0.000185,0,0,0.056992,0.220054,0.512904,2.835036,732513.7557,597525.918945,10219,10219
Hop10Rep1-9_most_delayed30_normal_td_dijkstra_iter4,Hop10Rep1-9,10,1,9,1024,4,most_delayed,none,30,-1,normal_td_dijkstra,0,4,307,0.2998046875,0,16876621,17830164,-953543,0,0.211787,0,0,0.000186,0,0,0.058873,0.24125,0.512096,3.347132,653798.794788,505424.983398,10514,10514
Hop10Rep1-9_most_delayed30_tdg_impact_w30_iter0,Hop10Rep1-9,10,1,9,1024,0,most_delayed,none,30,-1,tdg_impact_reroute,30,0,307,0.2998046875,109,28055401,20464399,7591002,0.10024,0.546153,0.123845,0,0.000179,0.002441,0.390684,0.201496,0.318699,1.683737,1.683737,2480702.03257,1607826.04004,11533,11533
Hop10Rep1-9_most_delayed30_tdg_impact_w30_iter1,Hop10Rep1-9,10,1,9,1024,1,most_delayed,none,30,-1,tdg_impact_reroute,30,1,307,0.2998046875,91,20464399,17338978,3125421,0,0.316037,0.092762,0,0.000183,0.002145,0.385048,0.184387,0.218703,1.199265,2.883002,1376544.87948,888107.124023,10667,10667
Hop10Rep1-9_most_delayed30_tdg_impact_w30_iter2,Hop10Rep1-9,10,1,9,1024,2,most_delayed,none,30,-1,tdg_impact_reroute,30,2,307,0.2998046875,60,17338978,16373911,965067,0,0.221505,0.081502,0,0.000187,0.002384,0.10041,0.159219,0.206981,0.772188,3.65519,700052.700326,553451.798828,10555,10555
Hop10Rep1-9_most_delayed30_tdg_impact_w30_iter3,Hop10Rep1-9,10,1,9,1024,3,most_delayed,none,30,-1,tdg_impact_reroute,30,3,307,0.2998046875,31,16373911,16157673,216238,0,0.203273,0.077231,0,0.00019,0.002201,0.020018,0.130671,0.205253,0.638837,4.294027,449892.179153,436502.779297,10231,10231
Hop10Rep1-9_most_delayed30_tdg_impact_w30_iter4,Hop10Rep1-9,10,1,9,1024,4,most_delayed,none,30,-1,tdg_impact_reroute,30,4,307,0.2998046875,51,16157673,16028337,129336,0,0.250354,0.078389,0,0.000188,0.002412,0.060352,0.139433,0.19716,0.728288,5.022315,473127.921824,392037.466797,10383,10383
Hop10Rep1-9_tdg_anchor_important_gamma50_normal_td_dijkstra_iter0,Hop10Rep1-9,10,1,9,1024,0,tdg,anchor_important,-1,50,normal_td_dijkstra,0,0,464,0.453125,0,28055401,20144510,7910891,0.10024,0.556791,0.125209,0.009128,0.251584,0,0,0.092859,0.288608,1.424419,1.424419,1654353.97414,1607826.04004,11533,11533
Hop10Rep1-9_tdg_anchor_important_gamma50_normal_td_dijkstra_iter1,Hop10Rep1-9,10,1,9,1024,1,tdg,anchor_important,-1,50,normal_td_dijkstra,0,1,443,0.4326171875,0,20144510,16868628,3275882,0,0.277497,0.090891,0.007663,0.152366,0,0,0.12199,0.229951,0.880358,2.304777,769730.853273,714945.651367,11163,11163
Hop10Rep1-9_tdg_anchor_important_gamma50_normal_td_dijkstra_iter2,Hop10Rep1-9,10,1,9,1024,2,tdg,anchor_important,-1,50,normal_td_dijkstra,0,2,457,0.4462890625,0,16868628,15689555,1179073,0,0.226324,0.080928,0.006965,0.134926,0,0,0.078324,0.210128,0.737595,3.042372,563526.573304,521363.724609,10544,10544
Hop10Rep1-9_tdg_anchor_important_gamma50_normal_td_dijkstra_iter3,Hop10Rep1-9,10,1,9,1024,3,tdg,anchor_important,-1,50,normal_td_dijkstra,0,3,456,0.4453125,0,15689555,15845361,-155806,0,0.220645,0.078477,0.006669,0.131159,0,0,0.08409,0.200863,0.721903,3.764275,451544.08114,417688.282227,10327,10327
Hop10Rep1-9_tdg_anchor_important_gamma50_normal_td_dijkstra_iter4,Hop10Rep1-9,10,1,9,1024,4,tdg,anchor_important,-1,50,normal_td_dijkstra,0,4,455,0.4443359375,0,15845361,16072827,-227466,0,0.217001,0.079121,0.006951,0.134697,0,0,0.08498,0.233268,0.756018,4.520293,445479.701099,408363.507812,10346,10346
Hop10Rep1-9_tdg_anchor_important_gamma50_tdg_impact_w30_iter0,Hop10Rep1-9,10,1,9,1024,0,tdg,anchor_important,-1,50,tdg_impact_reroute,30,0,464,0.453125,74,28055401,18920681,9134720,0.10024,0.573875,0.136595,0.010149,0.258761,0.009564,0.251121,0.147893,0.254704,1.742902,1.742902,1654353.97414,1607826.04004,11533,11533
Hop10Rep1-9_tdg_anchor_important_gamma50_tdg_impact_w30_iter1,Hop10Rep1-9,10,1,9,1024,1,tdg,anchor_important,-1,50,tdg_impact_reroute,30,1,462,0.451171875,32,18920681,17064982,1855699,0,0.250906,0.088904,0.007751,0.149577,0.002269,0.069826,0.157855,0.19968,0.926768,2.66967,672377.075758,645882.041992,11333,11333
Hop10Rep1-9_tdg_anchor_important_gamma50_tdg_impact_w30_iter2,Hop10Rep1-9,10,1,9,1024,2,tdg,anchor_important,-1,50,tdg_impact_reroute,30,2,478,0.466796875,27,17064982,15982537,1082445,0,0.197887,0.081365,0.006996,0.130868,0.002283,0.038659,0.193692,0.179096,0.830846,3.500516,433831.420502,406389.915039,10973,10973
Hop10Rep1-9_tdg_anchor_important_gamma50_tdg_impact_w30_iter3,Hop10Rep1-9,10,1,9,1024,3,tdg,anchor_important,-1,50,tdg_impact_reroute,30,3,479,0.4677734375,22,15982537,15984767,-2230,0,0.178144,0.077423,0.00644,0.121838,0.002373,0.014949,0.189152,0.189478,0.779797,4.280313,351167.448852,327082.750977,10658,10658
Hop10Rep1-9_tdg_anchor_important_gamma50_tdg_impact_w30_iter4,Hop10Rep1-9,10,1,9,1024,4,tdg,anchor_important,-1,50,tdg_impact_reroute,30,4,449,0.4384765625,35,15984767,15821224,163543,0,0.190124,0.075861,0.006778,0.121932,0.002204,0.018569,0.181521,0.190336,0.787325,5.067638,394022.32294,364658.704102,10388,10388
Hop10Rep1-10_random10_normal_td_dijkstra_iter0,Hop10Rep1-10,10,1,10,1024,0,random,none,10,-1,normal_td_dijkstra,0,0,102,0.099609375,0,17077467,16165016,912451,0.110848,0.299461,0,0,0.000157,0,0,0.02065,0.278977,0.710093,0.710093,760173.941176,766727.28125,11845,11845
Hop10Rep1-10_random10_normal_td_dijkstra_iter1,Hop10Rep1-10,10,1,10,1024,1,random,none,10,-1,normal_td_dijkstra,0,1,102,0.099609375,0,16165016,15310754,854262,0,0.278058,0,0,0.000164,0,0,0.021888,0.26729,0.5674,1.277493,703681,694559.378906,11888,11888
Hop10Rep1-10_random10_normal_td_dijkstra_iter2,Hop10Rep1-10,10,1,10,1024,2,random,none,10,-1,normal_td_dijkstra,0,2,102,0.099609375,0,15310754,14813425,497329,0,0.263333,0,0,0.00016,0,0,0.01972,0.255524,0.538737,1.81623,404235.901961,417907.673828,11907,11907
Hop10Rep1-10_random10_normal_td_dijkstra_iter3,Hop10Rep1-10,10,1,10,1024,3,random,none,10,-1,normal_td_dijkstra,0,3,102,0.099609375,0,14813425,14368096,445329,0,0.251978,0,0,0.000156,0,0,0.022053,0.24057,0.514757,2.330987,334545.04902,338618.019531,11902,11902
Hop10Rep1-10_random10_normal_td_dijkstra_iter4,Hop10Rep1-10,10,1,10,1024,4,random,none,10,-1,normal_td_dijkstra,0,4,102,0.099609375,0,14368096,13984010,384086,0,0.242506,0,0,0.000156,0,0,0.020885,0.235594,0.499141,2.830128,302785.22549,285156.895508,11930,11930
Hop10Rep1-10_random10_tdg_impact_w30_iter0,Hop10Rep1-10,10,1,10,1024,0,random,none,10,-1,tdg_impact_reroute,30,0,102,0.099609375,8,17077467,16373764,703703,0.110848,0.300438,0.097644,0,0.000159,0.002357,0.011068,0.043728,0.268286,0.834528,0.834528,760173.941176,766727.28125,11845,11845
Hop10Rep1-10_random10_tdg_impact_w30_iter1,Hop10Rep1-10,10,1,10,1024,1,random,none,10,-1,tdg_impact_reroute,30,1,102,0.099609375,7,16373764,15727747,646017,0,0.26807,0.095588,0,0.000157,0.002233,0.009555,0.046338,0.25001,0.671951,1.506479,660834.058824,661602.129883,12248,12248
Hop10Rep1-10_random10_tdg_impact_w30_iter2,Hop10Rep1-10,10,1,10,1024,2,random,none,10,-1,tdg_impact_reroute,30,2,102,0.099609375,8,15727747,15341887,385860,0,0.248914,0.09497,0,0.000162,0.002604,0.007665,0.048685,0.237115,0.640115,2.146594,355184.803922,369119.849609,12582,12582
Hop10Rep1-10_random10_tdg_impact_w30_iter3,Hop10Rep1-10,10,1,10,1024,3,random,none,10,-1,tdg_impact_reroute,30,3,102,0.099609375,6,15341887,14573692,768195,0,0.230356,0.094091,0,0.000162,0.002557,0.007548,0.052238,0.223937,0.610889,2.757483,291328.627451,300594.572266,12563,12563
Hop10Rep1-10_random10_tdg_impact_w30_iter4,Hop10Rep1-10,10,1,10,1024,4,random,none,10,-1,tdg_impact_reroute,30,4,102,0.099609375,8,14573692,14202464,371228,0,0.226154,0.091754,0,0.000157,0.002418,0.008068,0.049855,0.216515,0.594921,3.352404,259664.441176,245665.776367,12526,12526
Hop10Rep1-10_random30_normal_td_dijkstra_iter0,Hop10Rep1-10,10,1,10,1024,0,random,none,30,-1,normal_td_dijkstra,0,0,307,0.2998046875,0,17077467,14607657,2469810,0.110848,0.300904,0,0,0.000163,0,0,0.054608,0.246837,0.71336,0.71336,750803.501629,766727.28125,11845,11845
Hop10Rep1-10_random30_normal_td_dijkstra_iter1,Hop10Rep1-10,10,1,10,1024,1,random,none,30,-1,normal_td_dijkstra,0,1,307,0.2998046875,0,14607657,13731632,876025,0,0.247775,0,0,0.000161,0,0,0.053927,0.228396,0.530259,1.243619,307188.228013,307232.307617,11949,11949
Hop10Rep1-10_random30_normal_td_dijkstra_iter2,Hop10Rep1-10,10,1,10,1024,2,random,none,30,-1,normal_td_dijkstra,0,2,307,0.2998046875,0,13731632,13385125,346507,0,0.224721,0,0,0.000161,0,0,0.050214,0.219646,0.494742,1.738361,243604.188925,235016.05957,11941,11941
Hop10Rep1-10_random30_normal_td_dijkstra_iter3,Hop10Rep1-10,10,1,10,1024,3,random,none,30,-1,normal_td_dijkstra,0,3,307,0.2998046875,0,13385125,13156532,228593,0,0.220991,0,0,0.000161,0,0,0.052333,0.216814,0.490299,2.22866,225394.325733,222854.110352,11942,11942
