run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-2_gamma25_congestion_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,416,1194,29257903,14502719,12796900,0.105641,0.208412,9.3e-05,10897007.4736,13949640.3053,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma25_anchor_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,224,6328,29257903,19757166,20054205,0.112839,0.177534,9.4e-05,14068902.625,12426064.7009,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma50_all_nodes,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,451,11883,29257903,10840119,11571518,0.101566,0.262109,9.3e-05,14301132.9113,13997831.0909,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma50_congestion_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,631,1194,29257903,8084209,6241455,0.105654,0.293845,9.4e-05,12734254.5468,13748326.2219,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma50_anchor_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,454,6328,29257903,10955557,11420055,0.112919,0.263449,9.3e-05,14380776.4185,13934595.8062,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma75_all_nodes,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,714,11883,29257903,3635654,4215537,0.101566,0.355487,9.3e-05,14205721.1779,13666697.4776,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma75_congestion_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,845,1194,29257903,2388121,2080764,0.105611,0.372968,9.3e-05,13114347.0462,13580021.4568,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-2_gamma75_anchor_important,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,716,6328,29257903,3602231,4191649,0.112904,0.356167,9.3e-05,14244353.1159,13639893.2346,13447436.7236,11883,11883,189,32.2,4.51834263773
Hop10Rep1-3_gamma25_all_nodes,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,71,7242,15903591,13600926,14467886,0.055605,0.081179,9.3e-05,11885169.338,4580824.07042,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma25_congestion_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,551,726,15903591,7038115,5240711,0.058016,0.110562,9.4e-05,2830768.4392,4419753.67151,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma25_anchor_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,67,3263,15903591,13748303,14566483,0.062974,0.079753,9.4e-05,12055005.1343,4441884.46269,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma50_all_nodes,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,445,7242,15903591,6256717,7117298,0.055606,0.130881,9.6e-05,5031199.22022,4373886.20899,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma50_congestion_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,696,726,15903591,3861706,3193796,0.058006,0.146865,9.4e-05,3891476.99856,4460051.375,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma50_anchor_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,145,3263,15903591,11297824,12933878,0.062915,0.107019,9.3e-05,11663095.7931,4967671.57931,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma75_all_nodes,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,705,7242,15903591,2255783,3068033,0.055605,0.171323,9.4e-05,4936239.13901,4441846.58865,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma75_congestion_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,847,726,15903591,1514224,1432768,0.058047,0.178399,9.3e-05,4415293.24675,4410712.7804,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-3_gamma75_anchor_important,Hop10Rep1-3,10,1,3,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,718,3263,15903591,2162295,2721576,0.062872,0.175719,9.3e-05,4873152.35655,4427538.43454,4498409.30176,7242,7242,172,32,2.68557409887
Hop10Rep1-4_gamma25_all_nodes,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,216,9306,22706139,15103259,15528530,0.068352,0.109105,9.3e-05,6855506.31944,6480523.05556,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma25_congestion_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,495,934,22706139,9932708,8154649,0.071467,0.132762,9.4e-05,4744776.02222,6446241.55758,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma25_anchor_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,225,5887,22706139,15096548,15261580,0.0782,0.108053,9.4e-05,6577281.61333,6643499.96,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma50_all_nodes,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,447,9306,22706139,8468050,9252693,0.068348,0.14947,9.4e-05,6796865.97092,6350816.94183,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma50_congestion_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,678,934,22706139,4744391,4141520,0.0715,0.169717,9.4e-05,5615809.39086,6393590.73009,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma50_anchor_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,458,5887,22706139,8401650,9021719,0.0783,0.149587,9.3e-05,6670439.40611,6277571.69214,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma75_all_nodes,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,715,9306,22706139,2800417,3374801,0.068348,0.191565,9.3e-05,6486889.42657,6443439.61538,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma75_congestion_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,856,934,22706139,1598744,1313818,0.071473,0.202046,9.3e-05,5954222.7722,6304817.10514,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-4_gamma75_anchor_important,Hop10Rep1-4,10,1,4,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,719,5887,22706139,2760678,3321286,0.078211,0.191869,9.3e-05,6474676.58136,6418181.35049,6083616.14355,9306,9306,125,39.5,6.23345934838
Hop10Rep1-5_gamma25_all_nodes,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,214,8931,18340040,11948453,12607974,0.06611,0.104546,9.4e-05,4587298.51869,4094921.23364,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma25_congestion_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,78,906,18340040,15242585,15872563,0.069102,0.09055,9.4e-05,9166972.98718,4039456.14103,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma25_anchor_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,225,3646,18340040,11764066,12354809,0.074539,0.10584,9.3e-05,4539348.94222,4085126.36,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma50_all_nodes,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,434,8931,18340040,6752622,7660195,0.06611,0.142417,9.5e-05,4527741.10829,4103935.21429,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma50_congestion_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,653,906,18340040,4388254,3884667,0.069129,0.161708,9.5e-05,3852729.38132,4109475.20214,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma50_anchor_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,449,3646,18340040,6365754,7403133,0.074383,0.14545,9.4e-05,4623403.13808,4095562.06013,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma75_all_nodes,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,709,8931,18340040,2683990,3055007,0.06611,0.185011,9.4e-05,4396201.74471,4117081.9055,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma75_congestion_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,839,906,18340040,1587750,1728257,0.069093,0.197377,9.3e-05,4209315.882,4106641.51132,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-5_gamma75_anchor_important,Hop10Rep1-5,10,1,5,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,717,3646,18340040,2521517,2959001,0.07443,0.186988,9.3e-05,4463940.91492,4113617.36681,4112689.62891,8931,8931,140,7,1.7163623709
Hop10Rep1-6_gamma25_all_nodes,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,100,9393,14713545,11691692,12375456,0.063394,0.082843,9.4e-05,4027566.34,2117499.62,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma25_congestion_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,50,941,14713545,13091774,13290449,0.066494,0.075255,9.4e-05,5501444.46,2052230.58,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma25_anchor_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,52,3500,14713545,13047596,13223233,0.071533,0.075578,9.7e-05,5241186.30769,2082036.53846,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma50_all_nodes,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,436,9393,14713545,5239038,5893793,0.063394,0.116079,9.4e-05,2427908.79128,2155717.62844,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma50_congestion_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,732,941,14713545,2737254,2444895,0.066498,0.133772,9.3e-05,1883796.77459,2156238.21721,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma50_anchor_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,461,3500,14713545,4902276,5523529,0.071545,0.117613,9.3e-05,2383446.04338,2134827.26247,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma75_all_nodes,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,703,9393,14713545,2335126,2702360,0.063394,0.143712,9.3e-05,2344499.09104,2148356.40825,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma75_congestion_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,881,941,14713545,1186339,1177529,0.066498,0.15238,9.3e-05,2104307.11351,2225136.53008,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-6_gamma75_anchor_important,Hop10Rep1-6,10,1,6,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,720,3500,14713545,2108183,2548376,0.071541,0.145629,9.2e-05,2332603.95278,2166690.83056,2218760.15625,9393,9393,93,7.15384615385,1.35210220123
Hop10Rep1-7_gamma25_all_nodes,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,215,12157,29930878,20928334,21556381,0.098499,0.162857,9.5e-05,10351698.5163,9531784.65581,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma25_congestion_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,50,1220,29930878,27231229,27761271,0.102667,0.121278,9.4e-05,21582654.78,9717351.74,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma25_anchor_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,214,5573,29930878,20679481,21588140,0.109275,0.162272,9.4e-05,10603349.4346,9531739.47664,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma50_all_nodes,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,435,12157,29930878,13191263,13715794,0.098496,0.2269,9.4e-05,10309504.1839,9239860.03908,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma50_congestion_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,596,1220,29930878,8916558,8454204,0.102661,0.257329,9.5e-05,9232924.54027,9619581.81208,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma50_anchor_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,438,5573,29930878,12824106,13657413,0.109152,0.228384,9.4e-05,10455043.4041,9227577.49315,9888230.95117,12157,12157,144,32,2.73034645749
