impact_weight,rows,win_rate,mean_gain_vs_normal,median_gain_vs_normal,mean_pct_vs_normal_after,mean_pct_extra_reduction_vs_normal,mean_pct_of_total_before,mean_normal_after,mean_tdg_after,mean_normal_total_sec,mean_tdg_total_sec,mean_extra_total_sec,mean_normal_reroute_sec,mean_tdg_reroute_sec,mean_extra_reroute_sec,mean_tdg_prepare_sec,mean_normalize_sec,mean_tdg_evaluate_after_sec,mean_selected_count,mean_selected_fraction
0,180,0.0,0.0,0.0,0.0,0.0,0.0,142185578.8611111,142185578.8611111,3.3171840999999995,4.144057133333334,0.8268730333333333,0.05159697777777778,0.24011345,0.18851647222222223,0.6636212833333334,0.011399022222222222,3.228923377777778,716.3333333333334,0.2998046875
5,180,0.8555555555555555,2243492.6277777776,934147.0,1.7396011847868507,10.405154623737152,1.5603888602632265,142185578.8611111,139942086.23333332,3.3171840999999995,4.034276911111111,0.7170928111111111,0.05159697777777778,0.2242119611111111,0.17261498333333333,0.6636212833333334,0.011399022222222222,3.1350446444444446,716.3333333333334,0.2998046875
15,180,0.8777777777777778,4222951.9,1538305.5,2.935339783487048,27.31634107871156,2.633492193806689,142185578.8611111,137962626.9611111,3.3171840999999995,3.9471689333333333,0.6299848333333333,0.05159697777777778,0.21004378333333334,0.15844680555555554,0.6636212833333334,0.011399022222222222,3.0621048444444443,716.3333333333334,0.2998046875
30,180,0.8444444444444444,5569014.977777778,2232015.5,3.41259017085496,37.87525967900348,3.077872469960183,142185578.8611111,136616563.88333333,3.3171840999999995,3.8659816111111107,0.5487975111111111,0.05159697777777778,0.19946781666666666,0.14787083888888888,0.6636212833333334,0.011399022222222222,2.991493488888889,716.3333333333334,0.2998046875
50,180,0.7944444444444444,5493739.133333334,2312849.0,3.2121605798386432,37.155566049207565,2.9017434140830107,142185578.8611111,136691839.72777778,3.3171840999999995,3.833171911111111,0.515987811111111,0.05159697777777778,0.18700909999999998,0.13541212222222224,0.6636212833333334,0.011399022222222222,2.9711425055555556,716.3333333333334,0.2998046875
100,180,0.6944444444444444,5330010.311111111,2089939.0,2.6311010459350737,35.7560924395527,2.3779110533717183,142185578.8611111,136855568.55,3.3171840999999995,3.8077136333333335,0.4905295333333333,0.05159697777777778,0.1778655222222222,0.12626854444444444,0.6636212833333334,0.011399022222222222,2.9548278055555555,716.3333333333334,0.2998046875
