dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop40Rep1-2,40,1,2,1024,30,0,307,88524041,53585209,34938832,0.00016,0.987409
Hop40Rep1-3,40,1,3,1024,10,0,102,62750450,53657368,9093082,0.000158,1.222346
Hop40Rep1-3,40,1,3,1024,30,0,307,62750450,36032640,26717810,0.000167,0.746377
Hop40Rep1-4,40,1,4,1024,10,0,102,62003123,54411797,7591326,0.000156,0.972547
Hop40Rep1-4,40,1,4,1024,30,0,307,62003123,39568563,22434560,0.000162,0.6689
Hop40Rep1-5,40,1,5,1024,10,0,102,98425563,85491793,12933770,0.000156,1.867475
Hop40Rep1-5,40,1,5,1024,30,0,307,98425563,62052041,36373522,0.000161,1.350096
Hop40Rep1-6,40,1,6,1024,10,0,102,84867099,73865745,11001354,0.000158,1.528197
Hop40Rep1-6,40,1,6,1024,30,0,307,84867099,53030862,31836237,0.000162,1.056257
Hop40Rep1-7,40,1,7,1024,10,0,102,89851100,77797420,12053680,0.000161,2.014151
Hop40Rep1-7,40,1,7,1024,30,0,307,89851100,54429303,35421797,0.000166,1.314955
Hop40Rep1-8,40,1,8,1024,10,0,102,79741177,66946360,12794817,0.000157,1.770493
Hop40Rep1-8,40,1,8,1024,30,0,307,79741177,46920301,32820876,0.000164,1.144769
Hop40Rep1-9,40,1,9,1024,10,0,102,79467056,70138550,9328506,0.000157,1.494503
Hop40Rep1-9,40,1,9,1024,30,0,307,79467056,50465592,29001464,0.00016,1.007058
Hop40Rep1-10,40,1,10,1024,10,0,102,46438295,40388226,6050069,0.000159,0.785019
Hop40Rep1-10,40,1,10,1024,30,0,307,46438295,29088099,17350196,0.000159,0.543361
Hop40Rep1-11,40,1,11,1024,10,0,102,77561018,68164260,9396758,0.000158,1.356477
Hop40Rep1-11,40,1,11,1024,30,0,307,77561018,49251901,28309117,0.000161,0.903681
Hop40Rep1-12,40,1,12,1024,10,0,102,59773824,52575587,7198237,0.000158,1.039916
Hop40Rep1-12,40,1,12,1024,30,0,307,59773824,39336124,20437700,0.00016,0.693069
Hop40Rep1-13,40,1,13,1024,10,0,102,70069949,61347691,8722258,0.00016,1.419532
Hop40Rep1-13,40,1,13,1024,30,0,307,70069949,44458782,25611167,0.000163,0.935767
Hop40Rep1-14,40,1,14,1024,10,0,102,73806076,64341726,9464350,0.000158,1.380911
Hop40Rep1-14,40,1,14,1024,30,0,307,73806076,46465555,27340521,0.00016,0.88412
Hop40Rep1-15,40,1,15,1024,10,0,102,70369858,61547275,8822583,0.000158,1.291262
Hop40Rep1-15,40,1,15,1024,30,0,307,70369858,45049742,25320116,0.000164,0.874447
Hop40Rep1-16,40,1,16,1024,10,0,102,69978425,60289914,9688511,0.000158,1.426636
Hop40Rep1-16,40,1,16,1024,30,0,307,69978425,42540076,27438349,0.000161,0.903329
Hop40Rep1-17,40,1,17,1024,10,0,102,52782995,46299514,6483481,0.000159,0.800965
Hop40Rep1-17,40,1,17,1024,30,0,307,52782995,33686735,19096260,0.000163,0.570193
Hop40Rep1-18,40,1,18,1024,10,0,102,50969433,44503571,6465862,0.00016,0.832684
Hop40Rep1-18,40,1,18,1024,30,0,307,50969433,32755436,18213997,0.000164,0.612491
Hop40Rep1-19,40,1,19,1024,10,0,102,64622920,56604700,8018220,0.000156,1.086068
Hop40Rep1-19,40,1,19,1024,30,0,307,64622920,40902547,23720373,0.000163,0.753988
Hop40Rep2-0,40,2,0,2048,10,0,204,183334760,158620993,24713767,0.000304,3.895852
Hop40Rep2-0,40,2,0,2048,30,0,614,183334760,106178172,77156588,0.000315,2.418029
Hop40Rep2-1,40,2,1,2048,10,0,204,272502704,234051144,38451560,0.000307,11.451307
