run_id,dataset,hop,rep,seed,algorithm,query_count,iteration,selected_count,total_before,tdg_remaining_before,tdg_remaining_after_remove,random_remaining_before,random_remaining_after_remove,tdg_selected_score_sum,random_selected_score_sum,mean_selected_tdg_score,mean_random_tdg_score,mean_all_query_tdg_score,max_selected_tdg_score,max_random_tdg_score,max_all_query_tdg_score,tdg_node_count,tdg_route_arc_count,tdg_same_edge_arc_count,tdg_edge_timeline_count,tdg_max_out_degree,tdg_max_flow,tdg_mean_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
gamma0,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,0,27030182,27030182,27030182,27030182,27030182,0,0,0,0,8751804.17188,0,0,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
gamma25,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,14,27030182,26581408,26496978,26687388,26632987,440188592,88071669,31442042.2857,6290833.5,8751804.17188,33375916,24980007,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
gamma50,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,436,27030182,15023780,12717103,15425324,12910392,4022431932,4085901088,9225761.31193,9371332.77064,8751804.17188,33375916,31731315,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
gamma75,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,692,27030182,8187014,6319536,8717665,6497983,6383097835,6228573941,9224129.81936,9000829.39451,8751804.17188,33375916,31731315,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
gamma100,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,1024,27030182,0,0,0,0,8961847472,8961847472,8751804.17188,8751804.17188,8751804.17188,33375916,33375916,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
